commit_hash,label,commit_hour,commit_day_of_week,message_length,avg_line_length,snake_case_ratio,camelCase_ratio,comment_ratio,files_changed_count
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,13,1,44,44.0,0.0,0.0,0.0,15
b15ad394279fc3b7f998fa56857f334a7c0156f6,Armin Ronacher,13,1,25,25.0,0.0,0.0,0.0,2
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,16,1,66,21.333,0.0,0.0,0.0,9
44b42e0fbd93d86e0f4e929bda8e5fb63e81035d,Armin Ronacher,16,1,33,33.0,0.0,0.0,0.0,1
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,19,3,66,66.0,0.0,0.0,0.0,4
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,1,4,52,52.0,0.0,0.0,0.0,6
625eba4bb403296a8bbc1e72cc9cf4a5126f6c02,Armin Ronacher,12,4,36,36.0,0.0,0.0,0.0,1
4edec48b74dbb9d571e927b69b24c30ec0624975,Armin Ronacher,13,4,23,23.0,0.0,0.0,0.0,1
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,13,4,42,42.0,0.0,0.0,0.0,5
a9d4ea81da28ee9c894bf9d45adc4cfa9d52fddc,Armin Ronacher,13,4,34,34.0,0.0,0.0,0.0,2
7d6b8e9ab3e738d69e39ad53a7c0f6a552d5284a,Armin Ronacher,13,4,45,45.0,0.0,0.0,0.0,1
3d719f35f5c1ee4ce3dc01fb2167ef49c0180cf6,Armin Ronacher,15,5,52,52.0,0.0,0.0,0.0,13
9dfab582d065521e9350327801ed2c5ced1c8fa1,Armin Ronacher,16,5,14,14.0,0.0,0.0,0.0,1
8e9bd5f009bb8756a2a7d76a4b792323eeee49d6,Armin Ronacher,16,5,12,12.0,0.0,0.0,0.0,1
4e1b3e1134eb478563bc434d794085d0a412cb84,Armin Ronacher,17,5,17,17.0,0.0,0.0,0.0,1
05f36c7f7e2df36ee28f90d99632162579b1287c,Armin Ronacher,2,6,30,30.0,0.0,0.0,0.0,10
1fff3e598126a084348ec2c112fdd3bc6b9a1ee0,Armin Ronacher,2,6,64,64.0,0.0,0.0,0.0,3
574e81f9c8bbdc41958e1e7a7613633b091101f8,Armin Ronacher,2,6,23,23.0,0.0,0.0,0.0,2
df929c6c77ea5490a969275e45075c29711a498c,Armin Ronacher,2,6,30,30.0,0.0,0.0,0.0,1
8171da88a49eba769d313a51591ee8575be59762,Armin Ronacher,3,6,22,22.0,0.0,0.0,0.0,1
85ca089dde8814c4a42ad4574cddce25d60e5e25,Armin Ronacher,3,6,13,13.0,0.0,0.0,0.0,1
4e7aa9e7f7a86ee0ea4b6801694c13151518cb52,Armin Ronacher,3,6,11,11.0,0.0,0.0,0.0,1
4671429a509094f36e2294055340197091d39979,Armin Ronacher,3,6,73,36.0,0.0,0.0,0.0,4
d78b04a3fca8d8887382606897d4a97e55062fda,Armin Ronacher,3,6,27,27.0,0.0,0.0,0.0,1
6a3a046f55755f0691568431e68a8bfea8d89df0,Armin Ronacher,3,6,23,23.0,0.0,0.0,0.0,1
0b8e01b4450d0ba8cb65751d866568fddc155fa4,Armin Ronacher,4,6,13,13.0,0.0,0.0,0.0,1
03168a5d53457fdb8676a4ac9fca0f76a23c6852,Armin Ronacher,17,6,39,39.0,0.0,0.0,0.0,7
f2dc38cda61f76c64b97ab9f730accc986a4b188,Armin Ronacher,18,6,56,56.0,0.0,0.0,0.0,4
ef524f2cfd65377b3b9ce896e7a710472b13c0f6,Armin Ronacher,18,6,30,30.0,0.0,0.0,0.0,1
03148dba6b26a2694da1d466584f50189c52e7b3,Armin Ronacher,19,6,27,27.0,0.0,0.0,0.0,3
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,Armin Ronacher,0,0,26,26.0,0.0,0.0,0.0,4
a01e8b49ca66608f0bd46134ff02deeb5724c799,Armin Ronacher,19,0,72,72.0,0.0,0.0,0.0,1
de03143f6ecf9a36dd32f16f07309c64d4de03b0,Armin Ronacher,20,0,39,39.0,0.0,0.0,0.0,1
4affedec356ad8c9e6a107578f03fc7f5c615064,Armin Ronacher,20,0,22,22.0,0.0,0.0,0.0,1
959b5df00431c436474c5abca304e631c0de7721,Armin Ronacher,1,1,66,66.0,0.0,0.0,0.0,1
a42728568e18bedf588be2357b56021ab85b9fad,Armin Ronacher,1,1,51,51.0,0.0,0.0,0.0,1
8009bd986940378bba1399dbfce90d03e441467b,Armin Ronacher,2,2,38,38.0,0.166667,0.0,0.0,1
08f1f0dc32004fae01cf96d1eed84e6461e698e5,Armin Ronacher,2,2,22,22.0,0.0,0.0,0.0,5
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,Armin Ronacher,14,2,65,65.0,0.0,0.0,0.0,3
2d9bb692728fd76b19e467499caa4f5fcb07aede,Armin Ronacher,15,2,61,61.0,0.1,0.0,0.0,1
c33675f0251071ea47ce166b81ce8c637842f091,Armin Ronacher,16,2,83,27.0,0.0,0.0,0.0,7
fc94599285aa1aec50b3c9426697249e55edda0a,Armin Ronacher,16,2,40,40.0,0.0,0.0,0.0,2
1d8432ebfd1637eacab79a15e9b7963bf061371c,Armin Ronacher,17,2,42,42.0,0.0,0.0,0.0,1
c4f5c2fb9afc1679c085500830bd53fab93ad885,Armin Ronacher,17,2,12,12.0,0.0,0.0,0.0,1
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,Armin Ronacher,2,3,72,72.0,0.0,0.0,0.0,9
6dd92ae4b32c336564231e10db12458a8b9261ca,Armin Ronacher,2,4,22,22.0,0.0,0.0,0.0,7
40e0024d7b87150ed694829a5335bd2435962225,Armin Ronacher,2,4,85,42.0,0.0,0.0,0.0,3
7b5015010bc8c2a2d56c7c50b37e5b9facdad102,Armin Ronacher,2,4,138,33.75,0.0,0.0,0.0,1
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,Armin Ronacher,11,4,84,27.333,0.5,0.0,0.0,6
26f86b1d4954dd7512684130ee803b42eca8d72e,Armin Ronacher,12,4,33,33.0,0.0,0.0,0.0,2
b608785801ce819037cb6cca04c70fd398519c08,Armin Ronacher,12,4,17,17.0,0.0,0.0,0.0,1
61d07b8be9beae54d1c367adfc845dcf30a1512a,Armin Ronacher,12,4,43,43.0,0.0,0.0,0.0,1
f54c4fd04f326d94684c7fcbf12df5cecae653c4,Armin Ronacher,13,4,34,34.0,0.0,0.0,0.0,1
6418551efb1d24320c261b1e24c186d5394e6dcf,Armin Ronacher,13,4,15,15.0,0.0,0.0,0.0,2
7c9303b7502403c372171e1e045433b57259a56b,Armin Ronacher,13,4,15,15.0,0.0,0.0,0.0,1
6d556acb3fcaa6eeff4bda8cf704ad5f0cf5b5ac,Armin Ronacher,13,4,61,61.0,0.1,0.0,0.0,2
5348eff4457a528cd605bbbd5e0152c282819962,Armin Ronacher,13,4,13,13.0,0.0,0.0,0.0,1
855e7e9327c0095f39b34bd56b08aa63c87f9dfd,Armin Ronacher,14,4,18,18.0,0.0,0.0,0.0,1
f769e15fecf6e06c190133d85a3de6b703e4d1a1,Armin Ronacher,14,4,21,21.0,0.0,0.0,0.0,2
aae5de730113e843864c120cc0453efc0a90b49f,Armin Ronacher,14,4,11,11.0,0.0,0.0,0.0,2
0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,Armin Ronacher,14,4,18,18.0,0.0,0.0,0.0,1
8605cc310d260c3b08160881b09da26c2cc95f8d,Armin Ronacher,14,4,18,18.0,0.0,0.0,0.0,1
9fbf9a062c11904b5022a5aa7941449e31340c32,Armin Ronacher,14,4,15,15.0,0.0,0.0,0.0,1
791cdb28f593d4d7649d88407fcd193834512219,Armin Ronacher,14,4,31,31.0,0.0,0.0,0.0,1
5310fc38227b1907cb541f4a30ea8dfef46c2e19,Armin Ronacher,14,5,249,49.0,0.022727,0.0,0.0,2
b9cae3564ad31876d977c24a09d760e77ca992f3,Armin Ronacher,14,5,25,25.0,0.0,0.0,0.0,1
74862dcbca052ea0a994da3f507c00e9cc18821c,Armin Ronacher,14,5,51,51.0,0.0,0.0,0.0,1
